filename,sku,extension,gallery_order,source_path,source_git_blob_sha1,source_size_bytes,sha256,storage_bucket,storage_path,destination_size_bytes,status,public_url
G-CHV-MAS-01_REMIX.png,G-CHV-MAS-01,.png,1,public/images/products/remix/G-CHV-MAS-01_REMIX.png,df67333c852449513b7094809e16e2acff80dfd2,1994840,7a8afc92a6519f8b2ad61f761ccc2e3b5202ef9b05bc397f55e1682262b982d4,product-media,G-CHV-MAS-01/G-CHV-MAS-01_REMIX.png,1994840,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/G-CHV-MAS-01/G-CHV-MAS-01_REMIX.png
G-CHV-MAS-02_REMIX.png,G-CHV-MAS-02,.png,1,public/images/products/remix/G-CHV-MAS-02_REMIX.png,61aa66ca62d9b7e6a923627be3632f8e8c7fac81,1756537,c9a547547f56e465f0a9cb3c7879aa04b1f4fc4b4555c2338c1ee419f2547d77,product-media,G-CHV-MAS-02/G-CHV-MAS-02_REMIX.png,1756537,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/G-CHV-MAS-02/G-CHV-MAS-02_REMIX.png
G-CHV-MED-01_REMIX.webp,G-CHV-MED-01,.webp,1,public/images/products/remix/G-CHV-MED-01_REMIX.webp,98ddb9326a7961e1564d4656875ba16bebb41afc,99190,b1f7700c6f809e552c045ed54b1f33311feec78783236b026a9fbc958e35ecae,product-media,G-CHV-MED-01/G-CHV-MED-01_REMIX.webp,99190,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/G-CHV-MED-01/G-CHV-MED-01_REMIX.webp
G-CHV-MON-01_REMIX.png,G-CHV-MON-01,.png,1,public/images/products/remix/G-CHV-MON-01_REMIX.png,c2a7555ebb44daa0ce708d72846a35da1ef98d68,2187272,b644fce63ba33c0ef1fca996590aa9479ad32f83303fc36695a29b35adfe1f10,product-media,G-CHV-MON-01/G-CHV-MON-01_REMIX.png,2187272,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/G-CHV-MON-01/G-CHV-MON-01_REMIX.png
G-CHV-MUM-01_REMIX.png,G-CHV-MUM-01,.png,1,public/images/products/remix/G-CHV-MUM-01_REMIX.png,14e0fc76593c9e694c9dbf5ff749c99bebfe18a6,1788364,2156e53cea22a08524782acbc3de27fc3b034ea57814caad0441c0ab67fc04b9,product-media,G-CHV-MUM-01/G-CHV-MUM-01_REMIX.png,1788364,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/G-CHV-MUM-01/G-CHV-MUM-01_REMIX.png
G-CHV-MUM-02_REMIX.webp,G-CHV-MUM-02,.webp,1,public/images/products/remix/G-CHV-MUM-02_REMIX.webp,3fdafe6d12d79039f53138986369a29a2dc97cc7,124136,672d83839c1e745ca4f2ea9144d96765888f6e097dd7b77e797bc667bf812a2f,product-media,G-CHV-MUM-02/G-CHV-MUM-02_REMIX.webp,124136,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/G-CHV-MUM-02/G-CHV-MUM-02_REMIX.webp
G-CHV-PAL-01_REMIX.png,G-CHV-PAL-01,.png,1,public/images/products/remix/G-CHV-PAL-01_REMIX.png,98eed6f3d981aca92f6cfcf4d6425ad99ced4710,1875564,a6706ce9f77c90c1fbe5e846e9fd49fd35820c0d48d85303472b744d60fbb456,product-media,G-CHV-PAL-01/G-CHV-PAL-01_REMIX.png,1875564,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/G-CHV-PAL-01/G-CHV-PAL-01_REMIX.png
G-CHV-POL-01_REMIX.png,G-CHV-POL-01,.png,1,public/images/products/remix/G-CHV-POL-01_REMIX.png,a0449e0313f4ec2c4dfeaef7d844748d2f7d5224,1807589,ddc938cea524209b1bb15e84cf375a14e276ac20aa03debec7e7fd1f3c89500f,product-media,G-CHV-POL-01/G-CHV-POL-01_REMIX.png,1807589,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/G-CHV-POL-01/G-CHV-POL-01_REMIX.png
G-ORG-HS-01_REMIX.webp,G-ORG-HS-01,.webp,1,public/images/products/remix/G-ORG-HS-01_REMIX.webp,6a71ee1b1c96d8649de2a13150dae6a5f1d21623,64366,b59f4fd063b60701da0300d9293f624a7c068b4c25624493aef9a1938a490d7c,product-media,G-ORG-HS-01/G-ORG-HS-01_REMIX.webp,64366,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/G-ORG-HS-01/G-ORG-HS-01_REMIX.webp
G-ORG-HS-01_REMIX_02.webp,G-ORG-HS-01,.webp,2,public/images/products/remix/G-ORG-HS-01_REMIX_02.webp,cb559ca8c6bcb842a2aad82bad0d5fa5f4c782f8,60164,833f58f653c3d8f0168bd7d8be733937f4723abf715a083b6d15a1152d70fb32,product-media,G-ORG-HS-01/G-ORG-HS-01_REMIX_02.webp,60164,verified,https://tbffwwjqkusiupahjqux.supabase.co/storage/v1/object/public/product-media/G-ORG-HS-01/G-ORG-HS-01_REMIX_02.webp
